City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Kumsi,IN,2022-04-09 17:35:18,14.0667,75.4,74.14,86,65,4.83
251,Cidreira,BR,2022-04-09 17:35:18,-30.1811,-50.2056,72.0,80,66,9.17
252,Vaini,TO,2022-04-09 17:35:19,-21.2,-175.2,77.16,88,75,5.75
253,Sioux Lookout,CA,2022-04-09 17:35:19,50.1001,-91.917,37.47,35,40,3.44
254,Copiapo,CL,2022-04-09 17:35:20,-27.3667,-70.3333,60.49,33,1,8.21
255,Abalak,RU,2022-04-09 17:35:20,58.1286,68.5944,27.12,94,46,4.65
256,Mazagao,BR,2022-04-09 17:35:21,-0.115,-51.2894,82.45,84,81,5.86
257,Dombarovskiy,RU,2022-04-09 17:35:21,50.7587,59.5386,45.59,88,100,20.74
258,Qaqortoq,GL,2022-04-09 17:35:22,60.7167,-46.0333,32.79,59,5,2.26
259,Beyneu,KZ,2022-04-09 17:35:22,45.3167,55.2,59.58,56,81,13.58
260,Itoman,JP,2022-04-09 17:35:22,26.1247,127.6694,72.37,86,75,11.5
261,Minuri,PH,2022-04-09 17:35:23,16.535,121.8574,70.77,96,57,1.79
262,Oriximina,BR,2022-04-09 17:35:23,-1.7656,-55.8661,83.41,75,98,2.93
263,Sajanan,TN,2022-04-09 17:35:24,37.0573,9.2426,59.92,92,38,11.88
264,Husavik,IS,2022-04-09 17:35:24,66.0449,-17.3389,28.74,76,46,5.7
265,Sokoni,TZ,2022-04-09 17:35:24,-6.4333,39.55,84.11,69,8,15.19
266,Strai,NO,2022-04-09 17:35:25,58.2,7.9,43.39,47,0,17.27
267,Ayan,RU,2022-04-09 17:35:25,56.45,138.1667,16.68,82,9,7.16
268,Crestview,US,2022-04-09 17:30:42,30.7621,-86.5705,64.42,29,0,16.11
269,Verkhnevilyuysk,RU,2022-04-09 17:35:26,63.4453,120.3167,2.26,100,90,2.8
270,Vila Franca Do Campo,PT,2022-04-09 17:35:26,37.7167,-25.4333,57.61,78,70,23.4
271,Nishihara,JP,2022-04-09 17:35:26,26.1842,127.7558,71.65,89,75,11.5
272,Dunedin,NZ,2022-04-09 17:30:51,-45.8742,170.5036,49.44,84,69,10.16
273,Hearst,CA,2022-04-09 17:35:27,49.6835,-83.6665,23.25,90,100,9.37
274,Bandar-E Lengeh,IR,2022-04-09 17:35:27,26.5579,54.8807,78.91,73,74,9.22
275,Bom Jardim,BR,2022-04-09 17:35:28,-7.7958,-35.5872,87.04,50,89,14.92
